

Software Version	2.09.1



Experiment File Path:	C:\Users\Public\Documents\demo.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\LUMI.prt



Plate Number	Plate 1
Date	1/1/1111
Time	1:11:11 PM
Reader Type:	Synergy Neo2
Reader Serial Number:	11111110
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 32�C, Gradient 2 �C
	Preheat before moving to next step
Start Kinetic	Runtime 144:09:59 (HH:MM:SS), Interval 0:54:17, 160 Reads
    Read	Luminescence Endpoint
	Full Plate
	Integration Time: 0:22.50 (MM:SS.ss)
	Filter Set 1
	    Emission: Hole
	    Optics: Bottom,  Gain: 225
	Read Speed: Normal,  Delay: 100 msec
	Extended Dynamic Range
End Kinetic

Lum

Time	T� Lum	A1	A2	A3
0:00:00	32	6617	5703	5526
0:54:17	32.1	7527	6795	7040
1:48:34	32	8866	7913	7951
2:42:51	32.1	10427	8933	9530
3:37:08	32	11943	10620	10632
4:31:25	32.1	13922	11886	12484
5:25:42	32	15616	13760	13645
6:19:59	32	17033	15097	15098
7:14:16	32.1	17887	15758	16203
8:08:33	32	18420	16895	16885
9:02:50	32	18969	16991	17046
9:57:07	32	19088	17516	16936
10:51:24	32	18621	17319	17412
11:45:41	32	18454	16687	16905
12:39:58	32	18349	16759	16550
13:34:15	32	17952	15936	16079
14:28:32	32	17229	15660	16053
15:22:49	32	16364	14796	15567
16:17:06	32.1	16211	14890	15039
17:11:23	32	15713	14789	15084
18:05:40	32	15602	14252	14452
18:59:57	32	15591	14701	15099
19:54:14	32	15548	14740	14732
20:48:31	32	15962	14950	15208
21:42:48	32	16732	15766	15772
22:37:05	32	17570	16795	16728
23:31:22	32.1	18694	18007	17683
24:25:39	32	19985	19161	18909
25:19:56	32	20930	20110	20226
26:14:13	32	22271	21421	21364
27:08:30	32	23268	22048	22695
28:02:47	32	23620	22832	23176
28:57:04	32	23870	23254	23772
29:51:21	32.1	24795	23420	23895
30:45:38	32	23527	23583	23660
31:39:55	32	23889	23500	23495
32:34:12	32	23151	22787	22812
33:28:29	32.1	22750	21805	22357
34:22:46	32	21748	21710	22413
35:17:03	32	21110	21146	21660
36:11:20	32	20421	20673	21323
37:05:37	32	19831	19848	20267
37:59:54	32	19136	19309	19971
38:54:11	32	18599	18932	19177
39:48:28	32.1	18293	18766	19054
40:42:45	32	17638	18403	18987
41:37:02	32	17775	18166	18679
42:31:19	32	17872	18431	18900
43:25:36	32.1	18385	18605	19500
44:19:53	32.1	18841	18676	19442
45:14:10	32	18829	19284	20125
46:08:27	32.1	19959	19757	20765
47:02:44	32.1	20421	20466	21104
47:57:01	32	21586	20778	21995
48:51:18	32	21413	21856	22502
49:45:35	32	22474	22155	23207
50:39:52	32	22555	22595	23625
51:34:09	32	22512	22625	23590
52:28:26	32	22762	22804	23213
53:22:43	32.1	22560	22516	23292
54:17:00	32.1	22992	22653	23096
55:11:17	32	21905	22011	23022
56:05:34	32.1	21575	21400	22677
56:59:51	32	20872	21248	22172
57:54:08	32	20529	20464	21546
58:48:25	32	19928	19926	21235
59:42:42	32	19367	19350	20043
60:36:59	32	19174	19167	20055
61:31:16	32.1	18600	18782	19774
62:25:33	32	18235	18256	19270
63:19:50	32	17968	18471	19137
64:14:07	32	18333	18402	19033
65:08:24	32	18134	18458	19077
66:02:41	32	18312	18673	19276
66:56:58	32	18555	18761	19086
67:51:15	32	18966	18883	19759
68:45:32	32	19086	19619	20017
69:39:49	32	19371	19578	20175
70:34:06	32.1	19659	20147	20544
71:28:23	32	20631	20399	20969
72:22:40	32	20280	20693	21273
73:16:57	32	21127	21201	21495
74:11:14	32	20793	20900	21594
75:05:31	32	21202	20226	21566
75:59:48	32.1	21204	21141	21546
76:54:05	32	21045	20835	21262
77:48:22	32	20411	20941	20958
78:42:39	32	20715	19989	21008
79:36:56	32.1	20179	19898	20710
80:31:13	32	19661	19442	19985
81:25:30	32	19266	19506	19885
82:19:47	32	18993	18901	19362
83:14:04	32	18506	18709	19302
84:08:21	32	18632	18365	19284
85:02:38	32	18307	18152	18577
85:56:55	32	17731	18219	18832
86:51:12	32	17906	18209	18505
87:45:29	32	17661	18052	18577
88:39:46	32	18149	18216	18559
89:34:03	32	17799	17995	18909
90:28:20	32.1	18160	17859	18621
91:22:37	32	18492	17980	18914
92:16:54	32.1	18597	18255	18959
93:11:11	32	18475	18707	19240
94:05:28	32.1	18868	18607	19297
94:59:45	32	18810	18833	19084
95:54:02	32	19035	19095	19393
96:48:19	32	19169	18550	19753
97:42:36	32	19194	18728	19243
98:36:53	32	18951	18887	19208
99:31:10	32	18839	18595	19398
100:25:27	32	18581	18440	19225
101:19:44	32	18912	18434	19024
102:14:01	32	18463	18185	18537
103:08:18	32	18574	18140	18281
104:02:35	32	17966	17758	18075
104:56:52	32	17332	17741	18082
105:51:09	32.1	17544	17405	17732
106:45:26	32	17185	17106	17681
107:39:43	32	17105	16903	17454
108:34:00	32	16670	16308	17103
109:28:17	32.1	16483	16775	17311
110:22:34	32	16614	16307	17370
111:16:51	32	16470	16165	16639
112:11:08	32.1	16135	16094	16815
113:05:25	32	16166	16405	16767
113:59:42	32.1	16292	16380	16629
114:53:59	32	16326	16293	16543
115:48:16	32	16641	16476	16605
116:42:33	32.1	16570	16767	16792
117:36:50	32.1	16692	16427	16472
118:31:07	32.1	16561	16575	17032
119:25:24	32	16325	15931	16843
120:19:41	32.1	16484	16303	16956
121:13:58	32	16238	16354	16569
122:08:15	32	16255	15983	16299
123:02:32	32	16586	16185	16653
123:56:49	32	16027	15918	16650
124:51:06	32	16158	15647	16661
125:45:23	32	15647	15690	16302
126:39:40	32.1	15351	15667	15903
127:33:57	32	15468	15012	15739
128:28:14	32	15194	15223	15626
129:22:31	32	15400	14949	15152
130:16:48	32	15105	14817	15461
131:11:05	32.1	14497	14825	15088
132:05:22	32	14679	14667	14696
132:59:39	32	14655	14646	14723
133:53:56	32.1	14473	14653	14856
134:48:13	32.1	14401	14044	15013
135:42:30	32	14149	14408	14922
136:36:47	32	14257	14293	14795
137:31:04	32	14543	14070	14446
138:25:21	32.1	14092	13830	14563
139:19:38	32	14469	13906	14557
140:13:55	32	14227	13998	14794
141:08:12	32.1	14261	13965	15023
142:02:29	32	14426	13973	14626
142:56:46	32	14196	13804	14431
143:51:03	32	14138	14059	14582
