Time,Lipo Only,Lipo Only,Lipo Only
0,6617,5703,5526
0.04,7527,6795,7040
0.08,8866,7913,7951
0.11,10427,8933,9530
0.15,11943,10620,10632
0.19,13922,11886,12484
0.23,15616,13760,13645
0.26,17033,15097,15098
0.3,17887,15758,16203
0.34,18420,16895,16885
0.38,18969,16991,17046
0.41,19088,17516,16936
0.45,18621,17319,17412
0.49,18454,16687,16905
0.53,18349,16759,16550
0.57,17952,15936,16079
0.6,17229,15660,16053
0.64,16364,14796,15567
0.68,16211,14890,15039
0.72,15713,14789,15084
0.75,15602,14252,14452
0.79,15591,14701,15099
0.83,15548,14740,14732
0.87,15962,14950,15208
0.9,16732,15766,15772
0.94,17570,16795,16728
0.98,18694,18007,17683
1.02,19985,19161,18909
1.06,20930,20110,20226
1.09,22271,21421,21364
1.13,23268,22048,22695
1.17,23620,22832,23176
1.21,23870,23254,23772
1.24,24795,23420,23895
1.28,23527,23583,23660
1.32,23889,23500,23495
1.36,23151,22787,22812
1.39,22750,21805,22357
1.43,21748,21710,22413
1.47,21110,21146,21660
1.51,20421,20673,21323
1.55,19831,19848,20267
1.58,19136,19309,19971
1.62,18599,18932,19177
1.66,18293,18766,19054
1.7,17638,18403,18987
1.73,17775,18166,18679
1.77,17872,18431,18900
1.81,18385,18605,19500
1.85,18841,18676,19442
1.88,18829,19284,20125
1.92,19959,19757,20765
1.96,20421,20466,21104
2,21586,20778,21995
2.04,21413,21856,22502
2.07,22474,22155,23207
2.11,22555,22595,23625
2.15,22512,22625,23590
2.19,22762,22804,23213
2.22,22560,22516,23292
2.26,22992,22653,23096
2.3,21905,22011,23022
2.34,21575,21400,22677
2.37,20872,21248,22172
2.41,20529,20464,21546
2.45,19928,19926,21235
2.49,19367,19350,20043
2.53,19174,19167,20055
2.56,18600,18782,19774
2.6,18235,18256,19270
2.64,17968,18471,19137
2.68,18333,18402,19033
2.71,18134,18458,19077
2.75,18312,18673,19276
2.79,18555,18761,19086
2.83,18966,18883,19759
2.86,19086,19619,20017
2.9,19371,19578,20175
2.94,19659,20147,20544
2.98,20631,20399,20969
3.02,20280,20693,21273
3.05,21127,21201,21495
3.09,20793,20900,21594
3.13,21202,20226,21566
3.17,21204,21141,21546
3.2,21045,20835,21262
3.24,20411,20941,20958
3.28,20715,19989,21008
3.32,20179,19898,20710
3.36,19661,19442,19985
3.39,19266,19506,19885
3.43,18993,18901,19362
3.47,18506,18709,19302
3.51,18632,18365,19284
3.54,18307,18152,18577
3.58,17731,18219,18832
3.62,17906,18209,18505
3.66,17661,18052,18577
3.69,18149,18216,18559
3.73,17799,17995,18909
3.77,18160,17859,18621
3.81,18492,17980,18914
3.85,18597,18255,18959
3.88,18475,18707,19240
3.92,18868,18607,19297
3.96,18810,18833,19084
4,19035,19095,19393
4.03,19169,18550,19753
4.07,19194,18728,19243
4.11,18951,18887,19208
4.15,18839,18595,19398
4.18,18581,18440,19225
4.22,18912,18434,19024
4.26,18463,18185,18537
4.3,18574,18140,18281
4.34,17966,17758,18075
4.37,17332,17741,18082
4.41,17544,17405,17732
4.45,17185,17106,17681
4.49,17105,16903,17454
4.52,16670,16308,17103
4.56,16483,16775,17311
4.6,16614,16307,17370
4.64,16470,16165,16639
4.67,16135,16094,16815
4.71,16166,16405,16767
4.75,16292,16380,16629
4.79,16326,16293,16543
4.83,16641,16476,16605
4.86,16570,16767,16792
4.9,16692,16427,16472
4.94,16561,16575,17032
4.98,16325,15931,16843
5.01,16484,16303,16956
5.05,16238,16354,16569
5.09,16255,15983,16299
5.13,16586,16185,16653
5.16,16027,15918,16650
5.2,16158,15647,16661
5.24,15647,15690,16302
5.28,15351,15667,15903
5.32,15468,15012,15739
5.35,15194,15223,15626
5.39,15400,14949,15152
5.43,15105,14817,15461
5.47,14497,14825,15088
5.5,14679,14667,14696
5.54,14655,14646,14723
5.58,14473,14653,14856
5.62,14401,14044,15013
5.65,14149,14408,14922
5.69,14257,14293,14795
5.73,14543,14070,14446
5.77,14092,13830,14563
5.81,14469,13906,14557
5.84,14227,13998,14794
5.88,14261,13965,15023
5.92,14426,13973,14626
5.96,14196,13804,14431
5.99,14138,14059,14582
